name,hot,item,description,price
smER,FALSE,spring roll (1),,1.00
ER,FALSE,pork egg roll (1),,1.75
FWT,FALSE,fried wontons (10),,2.75
A03,FALSE,fried fantail shrimps (4),,5.75
A04,FALSE,teriyaki chicken (4),,5.25
A05,FALSE,teriyaki beef (8),,5.75
A06,FALSE,fried/steamed dumplings (6),,5.95
A07,FALSE,bo-bo platter (for two),"Includes 2 Cheese Wontons, 2 Fried shrimp, 2 teriyaki chicken 4 teriyaki beef sticks, and 2 egg rolls",8.95
A08,FALSE,cheese wonton (4),,3.99
S,FALSE,garden salad (ranch/house/1000/blue cheese),,1.75
