name,hot,item,price
L1,False,chicken chow mein,6.50
L2,False,sweet & sour chicken,6.50
L3,False,sweet & sour pork,6.50
L4,False,pork egg foo young,6.50
L5,False,vegetables delight,6.50
L6,False,moo goo gai pan,6.50
L7,True,kung bo chicken,6.50
L8,True,tiny spicy chicken,6.50
L9,False,cashew nut chicken,6.50
L10,False,broccoli chicken,6.50
L11,True,pork w/ garlic sauce,6.50
L12,True,twice cooked pork,6.50
L13,False,family style pork,6.50
L14,False,broccoli beef,6.50
L15,False,green pepper beef,6.50
L16,False,mongolian beef,6.50
L17,False,lo mein [ham/chicken/roasted pork],6.50
L18,False,house noodle soup,6.50
L19,False,shrimp with lobster sauce,7.50
L20,True,kung bo shrimp,7.50
L21,True,general tso's chicken,7.50
L22,True,crispy beef,7.00
L23,False,honey walnut chicken,7.00
L24,False,boneless bbq ribs,7.00
L25,False,snow peas roasted pork,7.00
L26,False,hawaiian teriyaki chicken,7.00
L27,False,sesame chicken,6.50
L28,True,broccoli w/ garlic sauce,6.50
L29,False,broccoli shrimp,7.50
L30,True,thai curry [shrimp/chicken],7.50
