name,hot,item,description,price
smER,False,spring roll (1),,1.00
ER,False,pork egg roll (1),,1.75
FWT,False,fried wontons (10),,2.75
A03,False,fried fantail shrimps (4),,5.75
A04,False,teriyaki chicken (4),,5.25
A05,False,teriyaki beef (8),,5.75
A06,False,fried/steamed dumplings (6),,5.95
A07,False,"bo-bo platter (for two)","Includes 2 Cheese Wontons, 2 Fried shrimp, 2 teriyaki chicken 4 teriyaki beef sticks, and 2 egg rolls",8.95
A08,False,cheese wonton (4),,3.99
S/R/000/H/B,False,garden salad (ranch/house/1000/blue cheese),,1.75
HSS,False,hot and sour soup (12oz/32oz),"Spicy chicken broth with pork, bean curd, bamboo shoot, and mushrooms",1.95/4.95
EDS,False,egg drop soup (12oz/32oz),Chicken broth with egg flower and corn,1.75/4.75
T03,False,"won ton soup (32oz)","Noodle dumplings with shrimp, chicken, ham, and mix vegetables",5.95
T04,False,"bean curd w/ vegetables (for two)",Chicken broth with bean curd and Chinese vegetables,4.95
T05,False,seafood sizzling rice soup (for two),"Chicken broth with shrimp, scallop, crab meat, and mix vegetables",6.25
T06,False,house special soup (for two),"Chicken broth with shrimp, chicken, ham, crab meat, and mix vegetables",6.25
T07,False,"pork with preserved vegetable soup (for two)",,6.25
FR01,False,chicken fried rice,,6.75
FR02,False,ham fried rice (add $1 with shredded pork),,6.75
FR03,False,beef fried rice,,6.75
FR04,False,shrimp fried rice,,7.75
FR05,False,vegetables fried rice,,6.75
FR06,False,house special fried rice,,7.75
SR,False,steamed rice (small),,1.75
SFR,False,small fried rice (ham only),,2.95
PFR,False,pork fried rice,,7.95
C01,False,cashew nut chicken,"Diced chicken, water chestnuts, zucchini and cashew nuts in brown sauce",8.25
C02,False,sizzling rice with chicken,Sliced chicken and vegetables in white sauce Served on sizzling hot plate,8.25
C03,False,snow pea chicken,"Sliced chicken cooked with snow peas, bamboo shoot and water chestnuts",8.25
C04,False,sesame chicken,"Sliced chicken with broccoli, carrot, baby corn sauteed in rich brown sauce",8.25
C05,False,tiny spicy chicken,Deep fried boneless chicken sauteed with our famous spicy tangy hot sauce,8.75
C06,False,kung bo chicken,"Diced chicken, water chestnuts and zucchini with peanuts in spicy brown sauce",8.25
C07,False,chicken with garlic sauce,Sliced chicken cooked with mix vegetables in hot garlic sauce,8.25
